Tract,Year,County,type,CRA Eligible,"% HI borrower, LI tract","# HI borrower, LI tract","% HI borrower, HI tract","# HI borrower, HI tract","% LI borrower, LI tract","# LI borrower, LI tract","%LI borrower, HI tract","# LI borrower, HI tract",Geoid
1501.0,2014,Sonoma County,high,not eligible,0.0,0,1.0,27,0.0,0,0.0,0,6041150100
1502.02,2014,Sonoma County,high,not eligible,0.0,0,0.9102564102564102,71,0.0,0,0.08974358974358974,7,6041150202
1502.03,2014,Sonoma County,mid,not eligible,0.0,0,0.8309859154929577,59,0.0,0,0.16901408450704225,12,6041150203
1502.04,2014,Sonoma County,high,not eligible,0.0,0,0.9491525423728814,56,0.0,0,0.05084745762711865,3,6041150204
1503.03,2014,Sonoma County,mid,not eligible,0.0,0,0.8631578947368421,82,0.0,0,0.1368421052631579,13,6041150303
1503.04,2014,Sonoma County,mod,eligible,0.8936170212765957,84,0.0,0,0.10638297872340426,10,0.0,0,6041150304
1503.05,2014,Sonoma County,mod,eligible,0.7704918032786885,47,0.0,0,0.22950819672131148,14,0.0,0,6041150305
1503.06,2014,Sonoma County,mid,not eligible,0.0,0,0.8135593220338984,48,0.0,0,0.1864406779661017,11,6041150306
1505.0,2014,Sonoma County,high,not eligible,0.0,0,0.925,74,0.0,0,0.075,6,6041150500
1506.01,2014,Sonoma County,mid,not eligible,0.0,0,0.8222222222222222,37,0.0,0,0.17777777777777778,8,6041150601
1506.02,2014,Sonoma County,mid,not eligible,0.0,0,0.8923076923076924,58,0.0,0,0.1076923076923077,7,6041150602
1506.03,2014,Sonoma County,mid,not eligible,0.0,0,0.9066666666666666,68,0.0,0,0.09333333333333334,7,6041150603
1506.07,2014,Sonoma County,high,not eligible,0.0,0,0.9857142857142858,69,0.0,0,0.014285714285714285,1,6041150607
1506.09,2014,Sonoma County,mid,not eligible,0.0,0,0.75,57,0.0,0,0.25,19,6041150609
1506.1,2014,Sonoma County,high,not eligible,0.0,0,0.94,47,0.0,0,0.06,3,6041150610
1506.11,2014,Sonoma County,high,not eligible,0.0,0,0.9672131147540983,59,0.0,0,0.03278688524590164,2,6041150611
1506.12,2014,Sonoma County,high,not eligible,0.0,0,0.8717948717948718,34,0.0,0,0.1282051282051282,5,6041150612
1507.01,2014,Sonoma County,mid,not eligible,0.0,0,0.9333333333333333,56,0.0,0,0.06666666666666667,4,6041150701
1507.02,2014,Sonoma County,high,not eligible,0.0,0,0.9836065573770492,60,0.0,0,0.01639344262295082,1,6041150702
1508.0,2014,Sonoma County,mid,not eligible,0.0,0,0.9305555555555556,67,0.0,0,0.06944444444444445,5,6041150800
1509.01,2014,Sonoma County,mid,not eligible,0.0,0,0.9322033898305084,55,0.0,0,0.06779661016949153,4,6041150901
1509.02,2014,Sonoma County,high,not eligible,0.0,0,0.9215686274509803,47,0.0,0,0.0784313725490196,4,6041150902
